종목명,항목,내용
3D프린터개발산업기사,개요,
3D프린터개발산업기사,변천과정,
3D프린터개발산업기사,위 자격취득자에 대한 법령상 우대현황,
3D프린터개발산업기사,취득방법,
3D프린터개발산업기사,진로 및 전망,
3D프린터개발산업기사,실시기관명,
3D프린터개발산업기사,실시기관 홈페이지,
3D프린터개발산업기사,수행직무,
3D프린터운용기능사,개요,
3D프린터운용기능사,취득방법,
3D프린터운용기능사,진로 및 전망,
3D프린터운용기능사,실시기관명,
3D프린터운용기능사,실시기관 홈페이지,
3D프린터운용기능사,수행직무,
3D프린터운용기능사,변천과정,
3D프린터운용기능사,위 자격취득자에 대한 법령상 우대현황,
가구제작기능사,위 자격취득자에 대한 법령상 우대현황,▣ 국가를 당사자로 하는 계약에 관한 법률 □ 동법 시행규칙 제38조 (원가계산을 할 때 단위당 가격의 기준)  ▣ 고등학교 졸업학력 검정고시 규칙  □ 동규칙 제12조 (과목면제)   ▣ 교원자격검정령  □ 동령 시행규칙 제9조 (무시험검정의 신청) ▣ 국가공무원법 □ 동법 제36조의2 (채용시험의 가점) ▣ 국회인사규칙 □ 동규칙 제20조 (특별채용의 요건) ▣ 비상대비자원 관리법 □ 동법 제2조 (대상자원의 범위) ▣ 공직자윤리법의 시행에 관한 대법원규칙 □ 동규칙 제26조 (취업승인) ▣ 기능대학법 □ 동법 시행령 제10조 (다기능기술자과정의 학생선발방법) ▣ 국가기술자격법 □ 동법 제14조 (국가기술자격 취득자에 대한 우대)  □ 동법 시행령 제27조 (국가기술자격취득자의 취업 등에 대한 우대)  ▣ 근로자직업능력개발법 □ 동법 제21조 (근로자의 자율적 직업능력개발 지원)  □ 동법 제28조 (직업능력개발훈련교사의 자격취득) ▣ 지역균형개발 및 지방중소기업 육성에 관한 법률 □ 동법 제48조 (인력의 개발 및 지역정착)  □ 동법 시행령 제59조 (인력의 지역정착지원) ▣ 독학에 의한 학위취득에 관한 법률 □ 동법 시행령 제9조 (시험과목면제 대상) ▣ 석유 및 석유대체연료 사업법 □ 동법 시행규칙 제29조 (품질검사기관의 지정기준 및 절차) ▣ 군인사법 □ 동법 시행규칙 제14조 (부사관의 임용<개정 2001.5.19>)▣ 경찰공무원임용령 □ 동령 제16조 (특별채용의 요건) ▣ 지방자치단체를 당사자로 하는 계약에 관한 법률 □ 동법 시행령 제57조 (주민참여감독자의 자격)  □ 동법 시행령 제7조 (원가계산을 할 때 단위당 가격의 기준) ▣ 중소기업인력지원 특별법 □ 동법 제28조 (근로자의 창업지원 등)  
가구제작기능사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 전문대학의 가구디자인과, 가구실내디자인과, 공업디자인과 등 관련학과③ 훈련기관 : 한국산업인력관리공단 산하 직업훈련원과 직업훈련기관의               가구제작에 관한 직업훈련(12개월 과정).④ 시험과목    - 필기 : 1.가구제도  2.가구재료  3.가구공작   - 실기 : 가구제작작업⑤ 검정방법   - 필기 : 전과목 혼합, 객관식 60문항 (60분)   - 실기 : 작업형(5시간 정도)⑥ 합격기준    - 필기·실기 : 100점을 만점으로 하여 60점 이상 "
가구제작기능사,진로 및 전망,
가구제작기능사,실시기관명,한국산업인력공단 
